,link,site,category
107,https://mwnation.com/kafukufuku-wa-chamba-watha/,mwnation.com,chamba
108,https://mwnation.com/house-adopts-motion-on-chamba-cultivation/,mwnation.com,chamba
109,https://www.nyasatimes.com/senior-chief-chamba-of-blantyre-dies/,www.nyasatimes.com,chamba
110,https://mwnation.com/ma-blacks-glorify-chamba/,mwnation.com,chamba
111,https://www.nyasatimes.com/nkhotakota-mp-opposes-calls-to-legalise-chamba/,www.nyasatimes.com,chamba
112,https://www.nyasatimes.com/3-mzimba-elderly-chamba-farmers-freed-by-court-after-pleading-guilty/,www.nyasatimes.com,chamba
115,https://mwnation.com/man-nabbed-possessing-chamba/,mwnation.com,chamba
116,https://mwnation.com/amanga-ogulitsa-chamba/,mwnation.com,chamba
117,https://www.nyasatimes.com/chimulirenjis-security-operative-arrested-over-106-chamba-bags/,www.nyasatimes.com,chamba
119,https://www.nyasatimes.com/court-fines-mangochi-man-k100-000-cultivating-chamba/,www.nyasatimes.com,chamba
120,https://www.nyasatimes.com/police-grants-bail-castel-malawi-md-arrested-over-suspected-chamba-cultivation/,www.nyasatimes.com,chamba
121,https://www.mwnation.com/police-intercepts-67-chamba-bags/,www.mwnation.com,chamba
122,https://www.nyasatimes.com/brothers-arrested-for-chamba-cultivation/,www.nyasatimes.com,chamba
123,https://www.nyasatimes.com/hemp-ok-rope-not-dope-3-powerful-ministers-back-growing-chamba-malawi-want-new-name/,www.nyasatimes.com,chamba
124,https://mwnation.com/industrial-hemp-is-not-chamba/,mwnation.com,chamba
125,https://www.nyasatimes.com/mp-champion-hemps-legalisation-in-malawi-debate-resurfaces/,www.nyasatimes.com,chamba
126,https://www.nyasatimes.com/another-uk-bound-chamba-package-intercepted-at-malawi-airport-hemp-from-zimbabwe/,www.nyasatimes.com,chamba
127,https://mwnation.com/kia-police-intercept-europe-bound-chamba/,mwnation.com,chamba
128,https://www.nyasatimes.com/malawi-rastas-call-to-legalize-the-illegal-chamba-is-not-lubani/,www.nyasatimes.com,chamba
129,https://www.nyasatimes.com/father-and-sons-arrested-for-cultivating-chamba-woman-nabbed-for-possessing-indian-hemp/,www.nyasatimes.com,chamba
130,https://mwnation.com/azula-chamba-achiyatsa-ku-kk/,mwnation.com,chamba
132,https://www.mwnation.com/man-arrested-for-possessing-chamba/,www.mwnation.com,chamba
133,https://www.nyasatimes.com/no-legal-hemp-yet-woman-arrested-in-blantyre-for-possessing-chamba/,www.nyasatimes.com,chamba
137,https://times.mw/after-proving-she-smokes-chamba-davido-makes-peace-with-baby-mama-sophia-momodu/,times.mw,chamba
139,https://times.mw/chamba-economics/,times.mw,chamba
140,https://times.mw/malawi-revenue-authority-confiscates-109-bags-of-chamba/,times.mw,chamba
141,https://www.nyasatimes.com/malawi-soldier-prison-warder-jailed-15-years-robbery-chamba-peddlers-caged/,www.nyasatimes.com,chamba
142,https://mwnation.com/mra-chases-arrests-driver-68-bags-chamba/,mwnation.com,chamba
143,https://times.mw/tag/chamba/,times.mw,chamba
144,https://times.mw/tag/madalitso-chamba/,times.mw,chamba
145,https://mwnation.com/chamba-can-boost-malawi-economy-expert/,mwnation.com,chamba
146,https://www.nyasatimes.com/businessman-sauzande-arrested-for-chamba-charges-malawi-news-agency-reports/,www.nyasatimes.com,chamba
147,https://www.mwnation.com/matafale-remembered-amid-chamba-smoke/,www.mwnation.com,chamba
148,https://www.mwnation.com/police-intercept-chamba-under-bales-of-sugar/,www.mwnation.com,chamba
149,https://times.mw/magistrate-charged-with-chamba-theft/,times.mw,chamba
150,https://mwnation.com/man-arrested-on-suspicion-of-cultivating-chamba/,mwnation.com,chamba
151,https://mwnation.com/asemphana-maganizo-pa-ulimi-wa-chamba/,mwnation.com,chamba
152,https://times.mw/malawi-police-intercept-chamba-cake/,times.mw,chamba
153,https://www.nyasatimes.com/man-jailed-18-months-selling-chamba-rumphi-students/,www.nyasatimes.com,chamba
154,https://times.mw/mdf-soldier-nabbed-for-possessing-chamba/,times.mw,chamba
155,https://www.nyasatimes.com/five-chamba-convicts-escape-jail-sentence-after-paying-fine/,www.nyasatimes.com,chamba
157,https://www.nyasatimes.com/malawi-police-arrest-two-selling-chamba-lotion-limbe/,www.nyasatimes.com,chamba
158,https://www.nyasatimes.com/malawi-police-arrest-zambian-woman-for-chamba/,www.nyasatimes.com,chamba
159,https://mwnation.com/chamba-elevated-to-senior-chief/,mwnation.com,chamba
161,https://www.nyasatimes.com/taming-generation-alcoholics-chamba-smokers-malawi/,www.nyasatimes.com,chamba
162,https://www.nyasatimes.com/malawi-players-in-booze-spree-whore-hooking-and-chamba-smoking-scandal/,www.nyasatimes.com,chamba
163,https://mwnation.com/2-arrested-for-possessing-chamba/,mwnation.com,chamba
164,https://mwnation.com/brothers-arrested-cultivating-chamba/,mwnation.com,chamba
165,https://www.mwnation.com/police-intercept-16-bags-of-chamba/,www.mwnation.com,chamba
166,https://mwnation.com/legalise-chamba-say-ma-blacks/,mwnation.com,chamba
167,https://mwnation.com/forestry-department-destroys-chamba-planted-reserve/,mwnation.com,chamba
169,https://mwnation.com/chamba-transporter-beats-police-roadblocks/,mwnation.com,chamba
170,https://www.mwnation.com/mukufuna-kulima-chamba/,www.mwnation.com,chamba
171,https://www.zodiakmalawi.com/nw/national-news/65-news-in-central-region/4117-ntcheu-police-nab-2-for-possessing-chamba,www.zodiakmalawi.com,chamba
172,https://mwnation.com/malonda-a-chamba-avuta-ku-nkhata-bay/,mwnation.com,chamba
173,https://www.nyasatimes.com/ras-chikomeni-shows-up-at-mec-to-collect-nomination-forms-for-presidency-malawi-will-have-chamba-control-commission/,www.nyasatimes.com,chamba
